Date,incomesize2,Numberofreturns,AGIlessdeficit,1040DTaxableNetGainNumReturns,1040DTaxableNetGainTotal,1040DTaxableNetLossNumReturns,1040DTaxableNetLossTotal,AlimonyNumReturns,AlimonyTotal,AnnutitesTaxableNumReturns,AnnutitesTaxableTotal,AnnutitiesTotalNumReturns,AnnutitiesTotalTotal,BusinessProfNetIncomeNumReturns,BusinessProfNetIncomeTotal,BusinessProfNetLossNumReturns,BusinessProfNetLossTotal,CapitalGainDistributionsNumReturns,CapitalGainDistributionsTotal,EstateAndTrustNetIncomeNumReturns,EstateAndTrustNetIncomeTotal,EstateAndTrustNetLossNumReturns,EstateAndTrustNetLossTotal,FarmNetIncomeNumReturns,FarmNetIncomeTotal,FarmNetLossNumReturns,FarmNetLossTotal,FarmRentalNetIncomeNumReturns,FarmRentalNetIncomeTotal,FarmRentalNetLossNumReturns,FarmRentalNetLossTotal,NetGainOtherThanCapitalAssetsNumReturns,NetGainOtherThanCapitalAssetsTotal,NetLossOtherThanCapitalAssetsNumReturns,NetLossOtherThanCapitalAssetsTotal,OrdinaryDividendsNumReturns,OrdinaryDividendsTotal,PartnershipAndScorpNetIncomeNumReturns,PartnershipAndScorpNetIncomeTotal,PartnershipAndSCorpNetLossNumReturns,PartnershipAndSCorpNetLossTotal,QualifiedDividendsNumReturns,QualifiedDividendsTotal,RentNetIncomeNumReturns,RentNetIncomeTotal,RentNetLossNumReturns,RentNetLossTotal,RoyaltyNetIncomeNumReturns,RoyaltyNetIncomeTotal,RoyaltyNetLossNumReturns,RoyaltyNetLossTotal,SalariesAndWagesNumReturns,SalariesAndWagesTotal,StateIncomeTaxNumReturns,StateIncomeTaxTotal,TaxableInterestNumReturns,TaxableInterestTotal,TaxableIRADistibutionsNumReturns,TaxableIRADistibutionsTotal,TaxExemptInterestNumReturns,TaxExemptInterestTotal,TotalRentAndRoyaltyNetIncomeNumReturns,TotalRentAndRoyaltyNetIncomeTotal,TotalRentAndRoyaltyNetLossNumReturns,TotalRentAndRoyaltyNetLossTotal,UnemploymentCompensationNumReturns,UnemploymentCompensationTotal
2005,0 to 50k,91195160,1.79E+12,4305213,29190076000,4444368,9598700000,333473,3203923000,13246224,1.56E+11,13999941,2.21E+11,9880886,98861329000,2830629,25339452000,1958620,1909558000,170067,1226087000,10522,598560000,363562,3030733000,719323,9962729000,244208,1340702000,67038,305048000,316560,2494970000,306925,4500116000,13174032,24200837000,1267967,16759871000,1029648,41075092000,10601198,13599124000,1732540,10377592000,2001064,19194618000,508395,1955244000,10066,54739000,75319349,1.54E+12,6012912,3390685000,28087878,38428036000,5058084,31515070000,1278710,7991769000,2294166,13445800000,2003268,18212152000,5484828,18404496000
2005,50k to 200k,39611393,3.46E+12,6038494,98574639000,4615292,10076969000,116837,3520893000,9278853,2.35E+11,10410606,3.83E+11,5156254,1.32E+11,2252794,13762404000,2035814,2645911000,232990,3687922000,13734,92565000,221141,4013154000,573485,7360826000,201422,1724430000,45209,214912000,389682,4094915000,358248,1865833000,15208820,51265953000,2477179,77419084000,1133780,14066647000,12677532,34481411000,1906221,21070838000,2472646,23265563000,622393,4430604000,16957,50047000,35713927,2.70E+12,14851628,12612330000,27761901,52702226000,3947609,64067915000,2240281,17011692000,2479823,26807714000,2278484,18918010000,2330851,9056685000
2005,200k to 1mil,3262308,1.14E+12,1462311,1.66E+11,892524,2264982000,6682,1124986000,665800,25902983000,867872,69767816000,656613,65688135000,201819,3306336000,156443,356290000,71913,3841765000,7593,217814000,22971,993320000,69191,2231351000,23313,505585000,8571,103570000,152592,2912451000,170627,1364746000,2513884,37860653000,1071680,1.63E+11,319078,12768239000,2310338,28872849000,415894,15037526000,435159,7629768000,168261,4788560000,5078,52044000,2792535,6.42E+11,1112586,2872552000,3098619,28148083000,352571,14188486000,809304,15185382000,534629,20002397000,241802,5220029000,70374,386640000
2005,1mil and up,303817,1.03E+12,211907,3.91E+11,70349,196250000,496,129468000,56496,3119928000,73667,11896927000,55143,18488161000,23191,2608179000,4341,46319000,18534,9382687000,3866,745464000,2973,446865000,8605,1097952000,2770,74409000,0,0,41734,3340901000,40837,1449611000,278641,53154560000,175280,2.35E+11,56877,21784057000,264618,42027091000,55296,7050830000,42989,1824883000,43642,4946703000,1293,40198000,245068,2.76E+11,133643,3329192000,300960,43154375000,28925,2505727000,169675,17505080000,86258,11969609000,30703,1638208000,1647,9546000
2006,0 to 50k,92246124,1.80E+12,4477807,31444326000,3671061,7759737000,304810,3061880000,13049879,1.52E+11,13849680,2.21E+11,10078558,1.03E+11,2780396,26170419000,2060365,2665500000,158650,1065296000,16466,649009000,311647,2818687000,720402,11278832000,226903,1367464000,65611,272843000,304445,2391660000,318416,4713149000,12456854,23400457000,1190667,16486051000,1032300,45581797000,10137920,12371736000,1585685,9794245000,2097092,25064587000,523188,1860948000,13465,114740000,75193957,1.55E+12,5898798,3499551000,28573897,46371421000,5017291,32091688000,1530663,7796543000,2154808,12628240000,2060256,21897269000,5005181,16985287000
2006,50k to 200k,42083748,3.73E+12,6894305,1.06E+11,4087575,8786181000,128480,3660009000,10218528,2.61E+11,11566480,4.40E+11,5312801,1.32E+11,2399531,15122634000,2324540,4662516000,275201,4057157000,16683,140352000,213513,3481858000,601921,7945711000,210019,1773189000,51075,259519000,390964,4067567000,343921,1892782000,15995237,60734111000,2477214,78652836000,1141849,15889037000,13521479,38887201000,1862631,21433741000,2582306,28073370000,669650,4690745000,17958,92369000,37710626,2.88E+12,15676564,13559966000,29953559,74285793000,4487875,71941542000,3121386,20639443000,2489884,27491402000,2335186,21232016000,2299684,9126986000
2006,200k to 1mil,3710791,1.29E+12,1790396,1.74E+11,819095,2029489000,7673,1239225000,766597,33527498000,1008744,1.03E+11,753335,70287136000,240757,4070149000,208733,1018045000,95494,4698228000,7143,202262000,23444,1014237000,73498,2523035000,23036,387511000,9286,79329000,153084,2985147000,174853,1520221000,2842826,47795746000,1155281,1.73E+11,353392,13138634000,2616220,34379590000,436063,15024768000,472070,8852267000,211698,5411089000,7088,78076000,3189036,7.33E+11,1235903,3297817000,3522643,39436747000,425152,18105931000,1160922,20235822000,582066,20484566000,228851,4959568000,71602,399314000
2006,1mil and up,354093,1.21E+12,264570,4.78E+11,64259,176266000,552,159268000,63216,3695715000,86463,17204688000,64993,24714326000,26035,3374923000,5497,70670000,21576,9304415000,4392,950051000,3362,369196000,10488,1267719000,2767,80924000,0,0,46328,4576336000,46792,1692915000,324857,67428833000,199146,2.60E+11,69454,28137741000,308565,51557275000,61131,7355124000,48800,2266514000,58654,5398042000,1649,34845000,285759,3.13E+11,152950,3848671000,351137,62613484000,34749,2566391000,225850,24299164000,102984,12749870000,33961,1838134000,1972,12078000
2007,0 to 50k,93790430,1.84E+12,4575635,35373997000,3115497,6649299000,299007,3132833000,12915438,1.52E+11,13721367,2.19E+11,10429858,1.05E+11,2963492,31372479000,2202141,3463462000,139364,957672000,11304,800299000,288840,2938804000,693305,11721591000,178028,1111281000,59541,310857000,309183,2571340000,297282,5742927000,11902584,23480819000,1225764,17327443000,1070256,62474642000,9736898,12098110000,1582250,10554539000,2191549,29087285000,505058,2064675000,15100,94952000,77311748,1.60E+12,5760609,3483152000,28604054,51045782000,4906548,32774485000,1416922,6506673000,2094774,13256795000,2162630,25412289000,5126782,18951612000
2007,50k to 200k,44652752,4.00E+12,7637645,1.14E+11,3594171,7786510000,147544,4290864000,11287451,2.93E+11,12687883,4.97E+11,5622471,1.31E+11,2451281,15834650000,2547759,6860877000,278214,4488978000,20395,108745000,235699,4929000000,639297,8772604000,218102,2117372000,47984,179844000,378691,3871021000,322574,1687394000,16565017,70504186000,2497470,78062138000,1251154,17899223000,14121906,42348418000,1911636,21787719000,2776495,32165711000,740838,4758176000,16583,40642000,39682221,3.05E+12,16252813,14938800000,31590787,89892948000,5216633,89510059000,3308448,20520088000,2602398,28110587000,2476408,23922038000,2418247,10071676000
2007,200k to 1mil,4143402,1.45E+12,2070863,1.86E+11,787520,1904956000,10756,1335636000,907505,40790047000,1172298,1.16E+11,811272,76499795000,255106,4250325000,255899,1521175000,103951,4926234000,10440,162917000,31382,2063480000,78187,2720465000,31957,760345000,7648,70711000,155426,3050028000,187665,1612391000,3175770,59330448000,1208968,1.80E+11,397643,16357787000,2940575,40096928000,467169,16360130000,501817,10097423000,238343,5791784000,6682,41082000,3535119,8.23E+11,1409674,3852768000,3921159,50202898000,520204,22363237000,1338366,23465382000,635693,22378537000,211671,5015338000,77251,391789000
2007,1mil and up,392220,1.40E+12,301427,5.77E+11,61052,167631000,0,0,70246,4319962000,96600,19350774000,68874,21665704000,27113,3391936000,6629,136370000,22247,10239205000,4795,1433236000,0,0,11232,1409883000,0,0,1205,26194000,50078,5620201000,50236,1713137000,362781,83736675000,214164,2.72E+11,79571,35964618000,345894,61328829000,63300,7808013000,55341,2740506000,70680,5260830000,2211,59111000,315712,3.69E+11,169903,4771928000,389131,76916556000,39841,3311546000,257861,28859200000,115299,13180428000,35623,1937873000,0,0
2008,0 to 50k,93297623,1.76E+12,2822631,27415385000,4736539,10586341000,283227,3013735000,13444083,1.58E+11,14277658,2.28E+11,10192546,1.03E+11,2957033,35998450000,1407837,843279000,167252,1263846000,17172,2090973000,282607,2808679000,692586,13202941000,200807,1156665000,55700,270877000,286642,2669581000,341548,13196148000,12034329,28442533000,1214703,16879598000,1222193,1.07E+11,9968781,16363655000,1635722,11880032000,2292516,30109409000,593648,2457700000,12367,56161000,75617941,1.58E+12,5424587,3731957000,27947078,51704225000,5485726,39410555000,1695444,10484309000,2240011,14960881000,2240858,27231825000,6412476,28325257000
2008,50k to 200k,44777287,4.04E+12,4039587,50634902000,5977526,13656662000,145828,4564071000,11205069,3.04E+11,12566372,4.90E+11,5407419,1.24E+11,2440201,16456952000,1704208,1470434000,279001,4591533000,18248,127088000,233827,6007717000,619805,8988833000,220324,2752026000,44763,235650000,330434,3005648000,359267,2473186000,15711716,65799146000,2398855,78620139000,1302219,19048545000,13413989,45110992000,1923207,23730480000,2820782,32442958000,801872,6536169000,15571,37935000,40119100,3.16E+12,15902592,15017410000,30392109,76719712000,5255596,94055883000,3311790,24007885000,2659362,32456566000,2479524,24107063000,3011786,14752141000
2008,200k to 1mil,4054365,1.39E+12,1043451,90048449000,1498959,3914970000,7281,999920000,836084,40028849000,1090561,1.11E+11,778137,75080434000,256368,4693493000,204471,305194000,92464,5330118000,8912,300945000,29606,2373269000,76966,2950739000,28498,1065765000,7195,57245000,118691,2222468000,196066,2071570000,3002365,51067634000,1159734,1.83E+11,371038,16793120000,2746406,38777588000,426941,16613861000,513108,10551814000,252736,8683900000,5244,60232000,3577273,8.76E+11,1344578,4051655000,3792270,42002141000,485873,25515329000,1236362,23307300000,607316,25902195000,187721,4271282000,105794,578681000
2008,1mil and up,321294,1.08E+12,146688,3.27E+11,143837,410118000,363,201630000,55010,3590195000,77150,15451754000,56375,22862246000,23610,3497045000,5341,74926000,17644,10712300000,3750,1228618000,2748,559623000,9906,1453385000,2934,153265000,1023,20938000,37442,5055063000,52519,3023218000,294702,74021353000,177002,2.64E+11,63741,32392004000,280099,58722956000,54170,7847638000,46091,2390206000,65787,8895968000,2530,54575000,264186,3.30E+11,147891,4768455000,318151,52864986000,32228,3168460000,209518,22022226000,102856,16765634000,27735,1534825000,2840,18615000
2009,0 to 50k,92888973,1.72E+12,2072123,20031596000,5693087,13154458000,279872,3325265000,13941327,1.68E+11,14802189,2.36E+11,10703309,1.08E+11,2959802,41626280000,323270,100868000,189575,1389648000,21774,1753178000,271958,3071212000,719801,13920444000,202637,1159433000,62478,345473000,274073,2515957000,451858,21766125000,11872307,26839511000,1358621,18675042000,1300145,1.02E+11,10063568,16649710000,1817889,13721270000,2301513,28405346000,661514,2274335000,19730,65708000,73913818,1.54E+12,5833632,4436536000,26257615,45068397000,5044674,38218717000,2014174,12375261000,2471746,16475714000,2269567,26631711000,7946169,57056149000
2009,50k to 200k,43680666,3.94E+12,3133844,38879594000,6189242,14420928000,150599,4415155000,11287044,3.17E+11,12580724,4.84E+11,5106028,1.15E+11,2364511,16217871000,377268,218962000,318940,5243099000,19148,149913000,222832,6116354000,610623,8720767000,213327,2516850000,49839,235775000,269940,2612214000,418656,3947978000,14566220,50545905000,2429619,78448117000,1335400,18460914000,12700570,36800683000,1896099,24305419000,2855538,30736234000,778568,4724352000,35593,105586000,39238826,3.11E+12,16191660,16759920000,27946198,58544978000,4307383,79203355000,3026252,24795778000,2574961,30742557000,2544350,23988773000,3221743,25376281000
2009,200k to 1mil,3687606,1.24E+12,720007,53744572000,1521306,3969609000,7631,1080975000,756101,36542243000,974005,92884582000,690499,67585393000,230483,3798734000,50126,40808000,78478,4354983000,7991,262453000,26477,2077548000,64013,2156386000,25882,1046445000,5536,60073000,105401,1705989000,195465,2137309000,2635427,36537634000,1076839,1.75E+11,330190,12846328000,2444575,29074490000,368608,14971273000,491941,9746456000,204714,4511665000,9442,50964000,3318406,8.20E+11,1300997,4500008000,3373721,29903608000,295129,16209573000,1063387,20303269000,514939,20011080000,167172,3700074000,128562,1084871000
2009,1mil and up,236883,7.27E+11,81956,1.50E+11,128277,367141000,0,0,35779,2381760000,51139,9722406000,39662,17482991000,17490,2261983000,0,0,13266,9500472000,2864,940507000,1840,350770000,6670,913543000,0,0,675,14075000,25278,5063936000,46993,2074168000,213862,49535796000,141035,2.25E+11,40732,19081036000,203834,41045320000,38057,6285019000,36331,1884160000,45779,4261981000,2272,37844000,197631,2.39E+11,117922,4618142000,233895,34484249000,11948,1571062000,151733,16099795000,72428,10650103000,20928,1085715000,2362,20799000
2010,0 to 50k,94065542,1.77E+12,2456590,23704699000,5147877,11812176000,294554,3250258000,13761877,1.70E+11,14550992,2.37E+11,10972791,1.15E+11,2909054,33664860000,463925,182113000,177313,1317780000,12442,1266629000,286784,3255352000,663952,11922765000,182506,1181861000,61081,336538000,286599,3094559000,479444,24111093000,10832250,24251501000,1289777,19008285000,1168970,76119472000,9483202,14450733000,1782912,13788785000,2219954,25395986000,608461,2223431000,16951,91841000,74368745,1.55E+12,5033834,3573812000,24278697,32897057000,5996973,45930724000,1800138,11553362000,2394041,16531333000,2168399,25276675000,10395239,81920546000
